# Accelerometer Data File
# Started @Tue Aug 01 23:16:22 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.289 0.467 9.804 20
-0.04 0.13 9.722 20
0.534 -0.049 9.636 20
0.112 0.055 9.744 21
-0.176 -0.049 9.73 20
-0.545 0.063 9.816 20
-0.804 0.048 9.768 20
-1.067 -0.097 9.782 20
-1.809 0.075 9.818 20
-2.468 0.266 9.864 20
-2.748 0.18 9.842 21
-2.791 0.118 9.861 20
-2.791 0.132 9.847 20
-2.714 0.089 9.828 20
-2.46 -0.039 9.78 20
-2.075 0.017 9.739 20
-1.742 0.283 9.732 20
-1.299 0.225 9.658 21
-1.048 0.326 9.672 20
-0.729 0.434 9.636 20
-0.289 0.355 9.615 20
0.074 0.338 9.605 20
0.333 0.441 9.658 20
0.62 0.285 9.646 20
0.747 0.388 9.607 21
0.888 0.486 9.677 20
1.269 0.371 9.684 20
1.527 0.326 9.751 20
1.623 0.324 9.777 20
1.774 0.264 9.799 20
2.097 0.266 9.825 20
2.471 0.381 9.907 21
2.837 0.237 9.959 20
3.141 -0.02 9.959 20
3.184 0.151 9.974 20
3.313 0.276 10.002 20
3.536 0.118 9.986 20
3.505 0.228 9.993 20
3.311 0.151 9.88 21
3.045 0.005 9.811 20
2.72 0.13 9.799 20
2.408 0.252 9.718 20
2.009 0.201 9.646 20
1.458 0.247 9.583 20
0.979 0.364 9.533 20
0.553 0.429 9.54 21
0.048 0.455 9.533 20
-0.44 0.537 9.55 20
-0.768 0.479 9.545 20
-0.983 0.486 9.569 20
-1.211 0.546 9.595 20
-1.637 0.486 9.679 20
-2.084 0.257 9.715 21
-2.398 0.158 9.799 20
-2.508 0.156 9.797 20
-2.628 0.106 9.83 20
-2.918 0.103 9.88 20
-3.207 0.108 9.957 20
-3.418 0.161 9.995 20
-3.399 0.24 9.983 20
-3.286 0.352 9.938 21
-3.186 0.34 9.904 20
-3.131 0.268 9.928 20
-2.982 0.271 9.866 20
-2.587 0.24 9.801 20
-2.128 0.204 9.727 20
-1.826 0.266 9.66 20
-1.543 0.206 9.641 21
-1.191 0.158 9.617 20
-0.725 0.173 9.555 20
-0.14 0.168 9.526 20
0.373 0.146 9.533 20
0.706 0.23 9.576 20
0.965 0.276 9.586 20
1.293 0.23 9.6 21
1.757 0.197 9.631 20
2.224 0.276 9.684 20
2.473 0.336 9.806 20
2.483 0.333 9.806 20
2.475 0.276 9.83 20
2.76 0.235 9.873 21
3.019 0.29 9.931 20
3.067 0.383 9.952 20
2.928 0.328 9.95 20
2.775 0.204 9.919 20
2.672 0.175 9.935 20
2.679 0.189 9.923 20
2.559 0.185 9.885 20
2.198 0.192 9.832 21
1.75 0.175 9.806 20
1.427 0.146 9.727 20
1.211 0.204 9.718 20
0.996 0.273 9.682 20
0.63 0.209 9.686 20
0.223 0.158 9.653 21
-0.138 0.197 9.636 20
-0.346 0.233 9.648 20
-0.576 0.283 9.667 20
-0.828 0.276 9.674 20
-1.065 0.228 9.677 20
-1.23 0.221 9.706 20
-1.294 0.362 9.744 21
-1.414 0.412 9.725 20
-1.51 0.309 9.758 20
-1.673 0.194 9.77 20
-1.716 0.142 9.77 20
-1.539 0.218 9.799 20
-1.326 0.264 9.801 20
-1.266 0.252 9.806 20
-1.306 0.197 9.811 21
-1.259 0.096 9.801 20
-1.012 0.137 9.782 20
-0.811 0.187 9.77 20
-0.602 0.201 9.768 20
-0.49 0.144 9.777 20
-0.535 0.12 9.775 20
-0.37 0.137 9.756 21
-0.246 0.228 9.737 20
-0.104 0.254 9.725 20
0.017 0.223 9.742 20
-0.085 0.29 9.763 20
0.084 0.261 9.751 20
0.347 0.295 9.753 20
0.416 0.362 9.732 21
0.481 0.319 9.732 20
0.567 0.252 9.787 20
0.56 0.324 9.742 20
0.768 0.271 9.768 20
0.941 0.252 9.758 20
0.845 0.343 9.801 20
0.706 0.237 9.773 21
0.677 0.233 9.792 20
0.598 0.357 9.77 20
0.486 0.285 9.765 20
0.354 0.264 9.777 20
0.117 0.324 9.768 20
0.043 0.268 9.753 20
0.053 0.221 9.763 21
0.007 0.259 9.768 20
-0.059 0.23 9.742 20
-0.03 0.115 9.746 20
0.0 0.122 9.763 20
0.06 0.18 9.77 20
0.12 0.192 9.773 20
0.064 0.252 9.78 21
-0.052 0.379 9.758 20
0.045 0.328 9.78 20
0.129 0.268 9.763 20
0.194 0.261 9.749 20
0.213 0.201 9.763 20
0.155 0.175 9.749 20
0.191 0.199 9.768 21
0.282 0.237 9.78 20
0.33 0.252 9.777 20
0.354 0.285 9.765 20
0.474 0.271 9.775 20
0.586 0.228 9.77 20
0.677 0.237 9.758 20
0.867 0.257 9.789 21
0.934 0.213 9.787 20
0.893 0.163 9.785 20
0.914 0.17 9.787 20
0.907 0.199 9.789 20
0.828 0.204 9.713 20
0.788 0.297 9.763 20
0.63 0.367 9.77 21
0.445 0.316 9.727 20
0.364 0.331 9.746 20
0.12 0.379 9.742 20
-0.143 0.338 9.725 20
-0.253 0.35 9.773 20
-0.277 0.367 9.746 20
-0.365 0.331 9.727 21
-0.552 0.237 9.744 20
-0.679 0.24 9.782 20
-0.734 0.221 9.782 20
-0.77 0.163 9.777 20
-0.837 0.149 9.737 20
-0.899 0.142 9.775 20
-1.021 0.127 9.787 21
-1.168 0.192 9.787 20
-1.237 0.261 9.787 20
-1.223 0.228 9.804 20
-1.235 0.199 9.77 20
-1.232 0.221 9.768 20
-1.189 0.228 9.765 20
-1.057 0.23 9.773 21
-0.904 0.211 9.751 20
-0.796 0.221 9.727 20
-0.698 0.23 9.727 20
-0.535 0.245 9.71 20
-0.325 0.249 9.698 20
-0.107 0.23 9.701 20
0.053 0.252 9.713 21
0.237 0.245 9.725 20
0.498 0.276 9.71 20
0.725 0.276 9.732 20
0.955 0.252 9.773 20
1.13 0.245 9.727 20
1.226 0.29 9.809 20
1.331 0.276 9.773 21
1.523 0.271 9.801 20
1.657 0.261 9.844 20
1.716 0.249 9.825 20
1.716 0.257 9.842 20
1.669 0.254 9.835 20
1.683 0.288 9.837 20
1.705 0.283 9.842 21
1.666 0.23 9.816 20
1.535 0.259 9.787 20
1.355 0.273 9.761 20
1.204 0.249 9.765 20
1.092 0.28 9.782 20
0.879 0.321 9.758 20
0.632 0.273 9.73 21
0.381 0.259 9.71 20
0.163 0.309 9.715 20
-0.061 0.309 9.706 20
-0.241 0.28 9.701 20
-0.43 0.285 9.715 20
-0.626 0.252 9.739 20
-0.772 0.221 9.751 21
-0.808 0.249 9.742 20
-0.892 0.283 9.746 20
-1.065 0.268 9.758 20
-1.199 0.168 9.787 20
-1.213 0.139 9.785 20
-1.206 0.189 9.789 20
-1.227 0.192 9.792 21
-1.247 0.17 9.792 20
-1.232 0.163 9.801 20
-1.244 0.175 9.782 20
-1.153 0.175 9.787 20
-1.021 0.223 9.773 20
-0.911 0.259 9.763 20
-0.787 0.199 9.768 21
-0.689 0.168 9.758 20
-0.557 0.216 9.737 20
-0.382 0.249 9.742 20
-0.207 0.268 9.751 20
-0.16 0.288 9.734 20
-0.054 0.268 9.732 20
0.167 0.245 9.722 21
0.311 0.292 9.732 20
0.479 0.304 9.746 20
0.562 0.276 9.773 20
0.68 0.3 9.77 20
0.797 0.292 9.761 20
0.922 0.283 9.775 20
0.991 0.324 9.753 21
0.996 0.316 9.813 20
1.017 0.307 9.785 20
1.056 0.312 9.78 20
1.089 0.304 9.794 20
1.041 0.297 9.794 20
0.962 0.261 9.806 20
0.914 0.233 9.801 21
0.864 0.213 9.773 20
0.797 0.237 9.775 20
0.699 0.223 9.768 20
0.596 0.211 9.763 20
0.512 0.194 9.768 20
0.385 0.209 9.751 20
0.29 0.223 9.756 21
0.246 0.242 9.742 20
0.124 0.249 9.775 20
-0.004 0.235 9.761 20
-0.1 0.266 9.758 20
-0.116 0.254 9.756 20
-0.136 0.245 9.756 20
-0.212 0.264 9.773 21
-0.332 0.261 9.751 20
-0.337 0.242 9.751 20
-0.296 0.247 9.765 20
-0.308 0.273 9.765 20
-0.322 0.257 9.746 20
-0.353 0.264 9.758 20
-0.32 0.261 9.78 20
-0.243 0.247 9.758 21
-0.219 0.235 9.773 20
-0.217 0.245 9.787 20
-0.188 0.233 9.775 20
-0.138 0.209 9.77 20
-0.064 0.235 9.765 20
-0.014 0.273 9.773 21
-0.052 0.261 9.768 20
-0.076 0.273 9.761 20
0.041 0.3 9.773 20
0.024 0.283 9.765 20
-0.059 0.288 9.739 20
-0.069 0.321 9.749 20
-0.083 0.283 9.758 20
-0.021 0.204 9.758 21
0.024 0.206 9.768 20
-0.033 0.218 9.78 20
-0.066 0.173 9.763 20
-0.025 0.209 9.773 20
-0.03 0.23 9.758 20
