# Accelerometer Data File
# Started @Tue Aug 01 23:45:42 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.333 0.084 9.821 20
-1.541 0.115 9.768 20
-1.955 0.118 9.837 20
-2.401 0.161 9.809 20
-2.697 0.218 9.799 21
-2.506 0.304 9.742 20
-2.104 0.359 9.631 20
-1.807 0.381 9.643 20
-1.536 0.412 9.629 20
-1.096 0.477 9.572 20
-0.394 0.465 9.516 21
0.16 0.544 9.54 20
0.553 0.561 9.574 20
0.855 0.448 9.583 20
1.19 0.359 9.586 20
1.563 0.278 9.648 20
1.954 0.3 9.727 20
2.195 0.3 9.758 21
2.301 0.173 9.799 20
2.296 0.144 9.842 20
2.361 0.149 9.878 20
2.442 0.156 9.947 20
2.722 0.185 9.979 20
2.89 0.149 10.038 20
2.993 0.017 10.01 21
3.033 0.039 10.01 20
3.177 0.151 10.031 20
3.483 0.139 10.043 20
3.629 0.11 10.05 20
3.519 0.139 9.94 20
3.347 0.134 9.909 20
3.165 0.158 9.828 20
2.684 0.331 9.73 21
2.274 0.383 9.634 20
1.91 0.271 9.555 20
1.436 0.319 9.521 20
0.833 0.501 9.471 20
0.273 0.546 9.449 20
-0.243 0.482 9.464 21
-0.523 0.364 9.488 20
-0.691 0.438 9.478 20
-0.971 0.606 9.545 20
-1.546 0.496 9.607 20
-2.003 0.144 9.627 20
-2.204 0.022 9.708 20
-2.36 0.12 9.751 21
-2.575 0.17 9.77 20
-2.949 0.218 9.811 20
-3.485 0.187 9.955 20
-3.732 0.034 10.014 20
-3.863 0.106 10.024 20
-3.727 0.302 10.012 20
-3.574 0.328 9.952 21
-3.557 0.003 9.99 20
-3.624 -0.188 10.019 20
-3.49 -0.047 9.971 20
-2.982 0.099 9.842 20
-2.532 0.113 9.667 20
-2.216 0.091 9.631 20
-1.962 0.094 9.636 20
-1.709 0.278 9.627 21
-1.057 0.35 9.569 20
-0.337 0.156 9.445 20
0.158 0.175 9.44 20
0.483 0.45 9.485 20
0.646 0.513 9.533 20
0.993 0.355 9.538 21
1.578 0.438 9.536 20
2.167 0.455 9.686 20
2.552 0.374 9.727 20
2.49 0.501 9.782 20
2.502 0.57 9.742 20
2.794 0.46 9.83 20
3.203 0.288 9.926 21
3.419 0.321 10.022 20
3.316 0.326 9.979 20
3.06 0.252 10.012 20
2.894 -0.042 9.955 20
3.014 -0.118 9.947 20
3.062 0.154 10.031 20
2.902 -0.123 9.933 21
2.382 -0.075 9.866 20
2.033 0.015 9.777 20
1.827 -0.118 9.792 20
1.53 -0.061 9.722 20
1.329 0.17 9.708 20
0.981 0.163 9.713 20
0.436 0.412 9.698 21
0.165 0.642 9.615 20
0.007 0.29 9.646 20
-0.363 0.043 9.66 20
-0.665 0.223 9.73 20
-0.765 0.273 9.581 20
-0.665 0.245 9.557 20
-0.38 0.41 9.605 21
-0.95 0.41 9.756 20
-1.941 -0.13 9.773 20
-1.898 0.046 9.749 20
-1.021 0.295 9.792 20
-0.825 -0.02 9.696 20
-1.321 0.041 9.686 20
-1.548 0.304 9.864 21
-1.615 0.273 9.823 20
-1.292 -0.001 9.871 20
-0.986 0.192 9.73 20
-1.048 0.465 9.78 20
-1.371 0.419 9.809 20
-1.299 0.273 9.801 20
-1.098 0.419 9.809 21
-1.067 0.424 9.792 20
-1.026 0.3 9.782 20
-1.021 0.424 9.761 20
-0.887 0.417 9.785 20
-0.693 0.192 9.739 20
-0.55 0.23 9.718 20
-0.425 0.333 9.744 21
-0.32 0.235 9.753 20
-0.167 0.137 9.737 20
0.112 0.189 9.73 20
0.251 0.24 9.725 20
0.306 0.187 9.737 20
0.318 0.146 9.732 20
0.299 0.166 9.744 21
0.333 0.209 9.751 20
0.357 0.23 9.749 20
0.251 0.211 9.71 20
0.184 0.185 9.744 20
0.237 0.209 9.746 20
0.285 0.288 9.761 20
0.371 0.3 9.77 21
0.457 0.276 9.792 20
0.534 0.381 9.758 20
0.598 0.343 9.765 20
0.742 0.338 9.806 20
0.857 0.369 9.792 20
0.912 0.338 9.792 20
0.97 0.271 9.794 21
1.063 0.23 9.773 20
1.07 0.271 9.813 20
1.027 0.257 9.811 20
1.027 0.173 9.806 20
0.989 0.173 9.83 20
0.955 0.182 9.794 20
0.929 0.158 9.794 21
0.962 0.134 9.804 20
0.965 0.166 9.785 20
0.95 0.166 9.775 20
1.001 0.139 9.78 20
1.025 0.206 9.794 20
1.01 0.261 9.773 20
0.984 0.237 9.753 21
0.9 0.278 9.765 20
0.819 0.283 9.727 20
0.723 0.285 9.732 20
0.558 0.328 9.718 20
0.313 0.336 9.691 20
0.163 0.276 9.706 20
-0.054 0.28 9.71 21
-0.229 0.312 9.71 20
-0.358 0.321 9.73 20
-0.509 0.333 9.701 20
-0.636 0.333 9.727 20
-0.784 0.233 9.758 20
-0.921 0.154 9.758 20
-1.026 0.233 9.768 21
-1.084 0.254 9.785 20
-1.163 0.154 9.768 20
-1.285 0.072 9.758 20
