# Accelerometer Data File
# Started @Tue Aug 01 23:12:13 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.397 0.419 9.191 20
-1.002 0.328 9.203 20
-1.63 0.276 9.361 21
-1.859 0.336 9.375 20
-1.989 0.314 9.485 20
-2.286 -0.061 9.492 20
-2.805 -0.24 9.583 20
-3.31 0.0 9.84 20
-3.696 0.079 9.923 20
-4.069 0.156 9.957 21
-4.45 0.209 10.029 20
-4.74 0.242 10.086 20
-4.78 0.173 10.206 20
-4.771 0.268 10.266 20
-4.515 0.367 10.225 20
-4.134 0.237 10.084 20
-4.029 0.106 10.026 21
-4.005 0.192 10.043 20
-3.847 0.345 9.998 20
-3.27 0.376 9.866 20
-2.7 0.345 9.66 20
-2.247 0.324 9.548 20
-1.886 0.276 9.507 20
-1.539 0.295 9.485 21
-0.998 0.369 9.406 20
-0.337 0.292 9.315 20
0.285 0.209 9.32 20
0.711 0.285 9.342 20
0.898 0.422 9.416 20
1.214 0.367 9.411 20
1.848 0.273 9.435 21
2.523 0.271 9.56 20
2.849 0.252 9.658 20
2.523 0.41 9.725 20
2.466 0.362 9.698 20
3.167 0.158 9.809 20
4.01 0.233 10.017 20
4.448 0.154 10.146 21
4.082 0.089 10.089 20
3.747 0.189 10.05 20
3.874 0.122 10.065 20
4.187 0.031 10.156 20
4.094 0.039 10.165 20
3.754 0.02 10.01 20
3.373 0.053 9.914 21
3.167 0.027 9.89 20
3.06 0.005 9.809 20
2.636 -0.013 9.73 20
2.042 -0.013 9.605 20
1.554 0.089 9.54 20
1.226 0.166 9.519 20
0.816 0.151 9.466 21
0.282 0.225 9.445 20
-0.188 0.321 9.457 20
-0.638 0.319 9.481 20
-0.998 0.345 9.492 20
-1.115 0.424 9.567 20
-1.136 0.45 9.543 20
-1.431 0.348 9.581 21
-1.886 0.185 9.689 20
-2.288 0.139 9.753 20
-2.515 0.273 9.785 20
-2.659 0.424 9.799 20
-2.978 0.455 9.878 20
-3.344 0.371 9.916 20
-3.464 0.388 9.976 21
-3.404 0.386 10.046 20
-3.318 0.465 10.002 20
-3.088 0.45 9.926 20
-2.961 0.29 9.959 20
-3.018 0.156 9.955 20
-2.925 0.213 9.911 20
-2.638 0.283 9.852 21
-2.164 0.254 9.753 20
-1.845 0.168 9.696 20
-1.718 0.17 9.655 20
-1.464 0.213 9.643 20
-0.93 0.178 9.583 20
-0.444 0.084 9.521 20
-0.155 0.099 9.502 21
0.153 0.204 9.516 20
0.558 0.278 9.569 20
0.862 0.288 9.576 20
1.104 0.264 9.588 20
1.52 0.211 9.6 20
1.992 0.245 9.686 20
2.08 0.28 9.761 21
1.997 0.206 9.71 20
2.097 0.178 9.773 20
2.49 0.264 9.818 20
3.029 0.218 9.907 20
3.163 0.18 9.947 20
3.026 0.194 9.95 20
2.973 0.142 9.931 21
3.014 0.146 9.957 20
3.014 0.261 9.974 20
2.909 0.23 9.938 20
2.586 0.139 9.861 20
2.368 0.204 9.837 20
2.313 0.158 9.816 20
2.191 0.158 9.785 21
1.843 0.197 9.696 20
1.415 0.175 9.646 20
0.905 0.204 9.665 20
0.718 0.189 9.646 20
0.529 0.271 9.56 20
0.091 0.326 9.6 20
-0.377 0.333 9.591 21
-0.842 0.257 9.651 20
-0.741 0.168 9.641 20
-0.677 0.41 9.607 20
-0.966 0.472 9.691 20
-1.287 0.168 9.684 20
-1.598 0.046 9.753 20
-1.745 0.149 9.849 21
-1.881 0.18 9.746 20
-1.967 0.213 9.761 20
-2.125 0.331 9.832 20
-2.499 0.307 9.885 20
-2.585 0.115 9.921 20
-2.336 0.216 9.892 20
-2.202 0.438 9.864 21
-2.108 0.355 9.837 20
-2.214 0.175 9.866 20
-2.185 0.166 9.878 20
-1.955 0.271 9.813 20
-1.661 0.257 9.761 20
-1.381 0.264 9.734 20
-1.223 0.295 9.72 21
-1.067 0.204 9.732 20
-0.835 0.17 9.667 20
-0.456 0.309 9.651 20
-0.069 0.331 9.653 20
0.134 0.254 9.631 20
0.27 0.266 9.634 20
0.555 0.28 9.658 21
0.953 0.228 9.674 20
1.235 0.261 9.665 20
1.412 0.28 9.718 20
1.506 0.235 9.773 20
1.535 0.187 9.737 20
1.693 0.249 9.761 20
1.925 0.245 9.837 21
2.04 0.211 9.804 20
2.169 0.166 9.825 20
2.262 0.115 9.866 20
2.291 0.108 9.876 20
