-0.126;0.055;9.735;0
0.004;0.138;9.761;19
-0.102;0.11;9.754;20
0.043;0.055;9.766;20
-0.019;0.105;9.747;20
-0.114;0.174;9.756;23
0.05;0.146;9.771;18
-0.038;0.086;9.747;20
-0.124;0.083;9.754;20
0.016;0.122;9.754;20
-0.004;0.131;9.778;20
-0.04;0.09;9.727;20
-0.043;0.035;9.744;20
-0.09;0.047;9.739;20
-0.002;0.093;9.751;21
0.04;0.064;9.761;19
-0.059;0.009;9.768;20
-0.038;-0.011;9.737;20
-0.067;0.009;9.766;20
-0.074;0.011;9.751;20
-0.019;-0.023;9.747;20
-0.079;-0.04;9.744;20
-0.047;-0.031;9.771;20
0.019;0.009;9.761;20
-0.023;-0.009;9.735;20
-0.069;-0.035;9.756;21
-0.141;-0.016;9.783;19
-0.16;0.011;9.751;20
-0.062;0.009;9.732;20
-0.028;0.009;9.737;20
-0.045;0.014;9.775;20
-0.035;0.021;9.754;20
-0.071;0.047;9.763;20
-0.069;0.043;9.756;20
-0.033;0.043;9.756;20
-0.067;0.081;9.749;20
-0.069;0.09;9.759;20
-0.076;0.1;9.749;20
-0.095;0.105;9.739;20
-0.045;0.102;9.759;20
-0.007;0.081;9.742;20
-0.002;0.081;9.742;20
0.033;0.067;9.763;20
-0.002;0.069;9.749;20
-0.014;0.043;9.725;20
-0.035;0.021;9.725;20
-0.04;0.011;9.744;20
-0.04;0.011;9.756;20
-0.069;0.016;9.766;20
-0.069;0.009;9.761;20
-0.069;0.016;9.759;20
-0.064;0.004;9.751;20
-0.064;-0.002;9.739;20
-0.064;0.009;9.751;20
-0.064;0.014;9.739;20
-0.093;0.004;9.756;20
-0.126;0.019;9.751;20
-0.126;0.009;9.768;20
-0.102;0.023;9.739;20
-0.081;0.031;9.778;20
-0.057;0.055;9.771;20
-0.047;0.05;9.785;20
0.019;0.047;9.727;20
-0.033;0.009;9.756;20
0.067;0.045;9.725;20
0.088;0.1;9.706;20
0.112;0.088;9.816;20
0.009;0.059;9.766;20
-0.165;0.265;9.34;20
-0.488;-0.131;9.696;20
-0.565;-0.023;9.438;20
0.275;-0.265;9.694;20
0.308;-0.763;9.232;20
0.138;-0.632;9.596;20
-0.442;-0.579;9.284;21
-0.794;-1.278;8.298;19
-0.471;-1.156;8.128;20
0.215;-1.675;7.96;20
0.131;-2.118;10.616;20
-0.67;-1.501;9.613;20
-0.28;-1.731;10.269;20
0.122;-1.891;9.972;20
-0.088;-1.563;10.022;20
0.471;-0.917;9.536;20
0.129;-0.72;9.931;20
0.045;0.481;9.713;20
-0.09;1.177;9.804;20
0.007;1.367;9.823;20
-0.289;1.517;9.744;20
-0.246;2.434;9.962;20
0.083;3.081;8.894;20
0.263;3.325;10.182;20
0.811;3.148;9.56;20
0.201;3.227;10.331;20
0.668;3.634;9.517;20
0.663;3.232;9.732;20
0.366;2.346;8.705;20
0.146;2.269;10.122;20
-0.957;1.472;8.88;20
-0.83;0.505;9.933;20
-0.311;0.933;8.968;20
-1.101;0.567;9.177;20
-0.134;-0.948;9.905;20
-0.249;0.203;8.47;20
-1.256;-0.624;9.282;20
-0.555;-0.986;9.352;20
-0.782;-0.543;9.483;20
-1.69;-1.702;10.199;20
-0.847;-1.747;9.984;20
0.581;-2.056;9.732;20
0.227;-2.351;9.83;20
0.347;-2.856;9.598;20
1.326;-2.755;9.579;20
0.933;-2.614;9.706;20
0.675;-2.272;9.598;20
0.569;-1.939;9.725;20
0.047;-1.235;9.672;20
-0.28;-0.56;9.804;20
-0.296;0.328;9.555;20
-0.871;0.866;9.799;20
-0.806;1.173;9.739;20
-0.529;1.295;9.759;20
-0.404;1.415;9.749;20
0.076;1.448;9.823;20
0.222;1.474;9.766;20
-0.122;1.283;9.751;20
-0.397;0.766;9.636;20
-0.641;0.902;9.747;20
-0.632;1.048;9.797;20
0.363;0.462;9.754;20
0.272;0.349;9.749;20
0.05;0.141;9.701;20
0.703;-0.201;9.739;20
0.569;-0.541;9.73;20
0.184;-0.974;9.783;20
0.055;-1.324;9.759;20
-0.205;-1.314;9.739;20
-0.105;-1.417;9.797;20
-0.368;-1.683;9.778;20
-0.632;-1.85;9.711;20
-0.62;-1.908;9.797;20
-0.725;-1.697;9.783;20
-0.644;-1.491;9.735;20
-0.354;-1.467;9.68;20
-0.395;-1.285;9.694;20
-0.404;-0.89;9.677;20
-0.059;-0.574;9.601;20
-0.174;-0.043;9.687;20
